feature,target
1.0827813,6.361104326174901
0.26662675,5.854185216828626
-0.54978126,3.8749544745694315
-0.6014259,4.441472056118465
-0.37144062,3.956322029147794
0.17845999,5.74639431975972
0.6291719,6.150906394903342
1.0226716,6.5653603236870826
0.2662625,6.127560564637593
2.1275563,8.790445121814912
-0.5578476,4.551586068874613
-1.9907289,0.21242667929144565
-0.49688885,2.8101524142445586
-1.349568,1.8949038198868908
0.5922901,6.0022029857076795
1.9026667,8.908526031547188
0.5539038,5.969385647675224
-0.4006483,4.904395663990969
0.06900171,6.409798625711664
1.0711619,6.1555761651601575
-0.63934124,3.386482076466804
0.7941302,6.488778952624989
0.2556445,5.918481220061982
-0.40342548,5.112536629017681
-1.1669698,2.9781784577592347
-0.51827776,5.496605536717188
-1.7321026,0.9856208699265336
-0.4007008,3.81545097397288
1.3008542,6.778767448731344
0.13524526,6.870574014422958
0.14854498,5.227808754632413
-0.2123229,4.65856359141754
-0.45952708,3.7540212934515385
1.2928113,7.539825599468299
0.42591462,5.547368990274551
-1.0101359,4.9027383522933174
0.08934962,5.10004001306926
-0.3554836,3.7069672135311778
-0.114808865,3.15240016821068
-1.3420558,3.1831492221239435
1.1987147,6.356992381027404
0.6808087,7.012038990095334
2.4058852,12.511416295406597
0.5924433,6.986910969502421
-0.12535271,3.652373500074441
-0.05718773,4.707569962483474
-0.92616796,2.724793592512193
-0.7096892,3.2502211718511296
-0.46227166,2.964293841002015
-0.33043942,3.5971155910300037
0.78823984,9.151239105542416
-0.25726187,5.5586898176820725
0.03401754,3.201900619331993
0.89118886,6.135200793320495
-0.87918067,4.323879467810645
1.8670784,8.91082692414171
-0.6692167,2.826238501521448
1.6880562,6.6811136687357155
-0.7864012,4.560614687537113
1.4685528,8.985636378438738
0.57394797,4.019570442561571
0.66938996,4.901640531717846
1.4590584,8.096053675269532
1.3422613,9.078945375070152
1.7893221,8.869963984641238
-0.13005257,4.657888672970701
-0.015602682,5.613037434779205
-0.42700452,4.474070796124166
-0.08216279,5.693107034594473
-1.8175155,0.42799973460709473
-0.85091174,3.478251482879734
-0.14657952,3.283470405640183
-0.4407322,3.7507797407881927
-0.24982014,2.9770715453554875
0.782792,5.9308124842320655
1.907836,9.803075762339974
-1.1723546,1.6392712205301636
-0.02212532,7.001473258567745
-0.19754411,4.85491032295861
-0.09655973,5.458043003822205
2.0615437,7.857063390503688
0.3150218,7.00419910670219
-2.6644225,-0.9387501532651342
1.4951838,8.021125834581758
-0.18232146,5.455013580329336
-0.7376463,4.979021049108002
0.7562793,5.928882013820334
1.4115659,8.238479013063536
0.30946088,6.2859475344013696
-1.2737688,3.3219577368932556
0.0036041653,3.804505020724412
-0.6841039,6.493561244536706
-1.6421206,-0.9658336470573397
-1.634201,0.5627861415363744
1.4255288,7.266893306878845
-0.9830184,3.852212900838212
0.72946215,8.049361524766006
-0.048715312,4.6442810615134364
-0.32287723,4.801274701657979
-0.38712743,6.164164943416064
-1.052514,2.50465273601216
-0.52629966,3.366704232325897
0.88459593,8.718178712840368
-0.8287954,1.4798577905510313
0.241597,4.914837298537106
-0.85599434,4.267235337886617
2.1412332,10.177830777622695
0.06764957,4.899036756975871
1.0507784,7.5426547103153405
-1.5165788,0.9744284204665712
0.495043,6.28559106476813
0.8460701,6.7342997962141355
-0.38867095,4.984797178285451
-0.3086085,5.010739410213382
1.0416037,7.190330374719977
